Year,Measure,Value
2020,Current account balance as a proportion of GDP (%),6.6
2020,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2020,"Portfolio investment, net (BoP, current US$)",..
2020,Total reserves in months of imports,..
2020,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2020,External debt stocks as a proportion of GNI (%),..
2020,DEC alternative conversion factor (LCU per US$),653.4
2020,Annual broad money growth (%),..
2020,Broad money to total reserves ratio,..
2020,Bank nonperforming loans to total gross loans (%),..
2020,Bank capital to assets ratio (%),..
2020,Tax revenue as a proportion of GDP (%),..
2020,Cash surplus/deficit as a proportion of GDP (%),6.6
2020,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2020,Annual GDP growth (%),-2.7
2020,Annual growth of the gross capital formation (%),-0.3
2020,Annual growth of households and NPISHs final consumption expenditure (%),0.2
2020,Annual growth of the general government final consumption expenditure (%),5.5
2020,Annual growth of exports of goods and services (%),-16.4
2020,Annual growth of imports of goods and services (%),-9.3
2020,"Annual inflation, consumer prices (%)",0.3
2020,Total unemployment out of total labour force (national estimate) (%),1.7
2021,Merchandise trade as a proportion of GDP (%),..
2021,"Personal remittances, received, as a proportion of GDP (%)",..
2021,Current account balance as a proportion of GDP (%),..
2021,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2021,"Portfolio investment, net (BoP, current US$)",..
2021,Total reserves in months of imports,..
2021,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2021,External debt stocks as a proportion of GNI (%),..
2021,DEC alternative conversion factor (LCU per US$),629.2
2021,Annual broad money growth (%),..
2021,Broad money to total reserves ratio,..
2021,Bank nonperforming loans to total gross loans (%),..
2021,Bank capital to assets ratio (%),..
2021,Tax revenue as a proportion of GDP (%),..
2021,Cash surplus/deficit as a proportion of GDP (%),..
2021,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2021,Annual GDP growth (%),..
2021,Annual growth of the gross capital formation (%),..
2021,Annual growth of households and NPISHs final consumption expenditure (%),..
2021,Annual growth of the general government final consumption expenditure (%),..
2021,Annual growth of exports of goods and services (%),..
2021,Annual growth of imports of goods and services (%),..
2021,"Annual inflation, consumer prices (%)",2.7
2021,Total unemployment out of total labour force (national estimate) (%),2.1
