Year,Series,Units,Party/Municipality,Value
1996,Local governments,data.foseats-number,Gjáar municipality,5.0
1996,Local governments,data.foseats-number,Gøtu municipality,5.0
1996,Local governments,data.foseats-number,Haldórsvíkar municipality,5.0
1996,Local governments,data.foseats-number,Hests municipality,5.0
1996,Local governments,data.foseats-number,Hósvíkar municipality,5.0
1996,Local governments,data.foseats-number,Hovs municipality,5.0
1996,Local governments,data.foseats-number,Húsa municipality,5.0
1996,Local governments,data.foseats-number,Húsavíkar municipality,5.0
1996,Local governments,data.foseats-number,Hvalbiar municipality,5.0
1996,Local governments,data.foseats-number,Hvalvíkar municipality,5.0
1996,Local governments,data.foseats-number,Hvannasunds municipality,5.0
1996,Local governments,data.foseats-number,Kirkjubøar municipality,5.0
1996,Local governments,data.foseats-number,Klaksvíkar municipality,11.0
1996,Local governments,data.foseats-number,Kunoyar municipality,5.0
1996,Local governments,data.foseats-number,Kvívíkar municipality,5.0
1996,Local governments,data.foseats-number,Leirvíkar municipality,5.0
1996,Local governments,data.foseats-number,Miðvágs municipality,7.0
1996,Local governments,data.foseats-number,Mikladals municipality,5.0
1996,Local governments,data.foseats-number,Mykines municipality,3.0
1996,Local governments,data.foseats-number,Nes municipality,7.0
1996,Local governments,data.foseats-number,Nólsoyar municipality,5.0
1996,Local governments,data.foseats-number,Oyndarfjarðar municipality,5.0
1996,Local governments,data.foseats-number,Porkeris municipality,5.0
1996,Local governments,data.foseats-number,Runavíkar municipality,9.0
1996,Local governments,data.foseats-number,Saksunar municipality,3.0
1996,Local governments,data.foseats-number,Sandavágs municipality,7.0
1996,Local governments,data.foseats-number,Sands municipality,5.0
1996,Local governments,data.foseats-number,Sjóvar municipality,5.0
1996,Local governments,data.foseats-number,Skála municipality,5.0
1996,Local governments,data.foseats-number,Skálavíkar municipality,5.0
1996,Local governments,data.foseats-number,Skopunar municipality,5.0
1996,Local governments,data.foseats-number,Skúgvoyar municipality,3.0
1996,Local governments,data.foseats-number,Sørvágs municipality,7.0
1996,Local governments,data.foseats-number,Sumbiar municipality,5.0
1996,Local governments,data.foseats-number,Sunda municipality,5.0
1996,Local governments,data.foseats-number,Svínoyar municipality,5.0
1996,Local governments,data.foseats-number,Tórshavnar municipality,13.0
1996,Local governments,data.foseats-number,Tvøroyrar municipality,7.0
1996,Local governments,data.foseats-number,Vága municipality,
1996,Local governments,data.foseats-number,Vágs municipality,9.0
1996,Local governments,data.foseats-number,Vestmanna municipality,7.0
1996,Local governments,data.foseats-number,Viðareiðis municipality,5.0
2000,Local governments,data.fowomenseats-proportion,All municipalities,22.8
2000,Local governments,data.fowomenseats-proportion,Bíggjar municipality,0.0
2000,Local governments,data.fowomenseats-proportion,Eiðis municipality,14.3
2000,Local governments,data.fowomenseats-proportion,Elduvíkar municipality,20.0
2000,Local governments,data.fowomenseats-proportion,Eysturmunicipality,
2000,Local governments,data.fowomenseats-proportion,Fámjins municipality,20.0
2000,Local governments,data.fowomenseats-proportion,Fuglafjarðar municipality,11.1
2000,Local governments,data.fowomenseats-proportion,Fugloyar municipality,0.0
2000,Local governments,data.fowomenseats-proportion,Funnings municipality,33.3
2000,Local governments,data.fowomenseats-proportion,Gjáar municipality,33.3
2000,Local governments,data.fowomenseats-proportion,Gøtu municipality,28.6
2000,Local governments,data.fowomenseats-proportion,Haldórsvíkar municipality,0.0
2000,Local governments,data.fowomenseats-proportion,Hests municipality,0.0
2000,Local governments,data.fowomenseats-proportion,Hósvíkar municipality,40.0
2000,Local governments,data.fowomenseats-proportion,Hovs municipality,40.0
2000,Local governments,data.fowomenseats-proportion,Húsa municipality,33.3
2000,Local governments,data.fowomenseats-proportion,Húsavíkar municipality,20.0
2000,Local governments,data.fowomenseats-proportion,Hvalbiar municipality,14.3
2000,Local governments,data.fowomenseats-proportion,Hvalvíkar municipality,20.0
2000,Local governments,data.fowomenseats-proportion,Hvannasunds municipality,40.0
2000,Local governments,data.fowomenseats-proportion,Kirkjubøar municipality,20.0
2000,Local governments,data.fowomenseats-proportion,Klaksvíkar municipality,27.3
2000,Local governments,data.fowomenseats-proportion,Kunoyar municipality,20.0
2000,Local governments,data.fowomenseats-proportion,Kvívíkar municipality,28.6
2000,Local governments,data.fowomenseats-proportion,Leirvíkar municipality,42.9
2000,Local governments,data.fowomenseats-proportion,Miðvágs municipality,57.1
2000,Local governments,data.fowomenseats-proportion,Mikladals municipality,33.3
2000,Local governments,data.fowomenseats-proportion,Mykines municipality,33.3
2000,Local governments,data.fowomenseats-proportion,Nes municipality,28.6
2000,Local governments,data.fowomenseats-proportion,Nólsoyar municipality,20.0
2000,Local governments,data.fowomenseats-proportion,Oyndarfjarðar municipality,60.0
2000,Local governments,data.fowomenseats-proportion,Porkeris municipality,20.0
2000,Local governments,data.fowomenseats-proportion,Runavíkar municipality,22.2
2000,Local governments,data.fowomenseats-proportion,Saksunar municipality,0.0
2000,Local governments,data.fowomenseats-proportion,Sandavágs municipality,14.3
2000,Local governments,data.fowomenseats-proportion,Sands municipality,14.3
2000,Local governments,data.fowomenseats-proportion,Sjóvar municipality,0.0
2000,Local governments,data.fowomenseats-proportion,Skála municipality,0.0
2000,Local governments,data.fowomenseats-proportion,Skálavíkar municipality,20.0
2000,Local governments,data.fowomenseats-proportion,Skopunar municipality,40.0
2000,Local governments,data.fowomenseats-proportion,Skúgvoyar municipality,33.3
2000,Local governments,data.fowomenseats-proportion,Sørvágs municipality,14.3
2000,Local governments,data.fowomenseats-proportion,Sumbiar municipality,0.0
2000,Local governments,data.fowomenseats-proportion,Sunda municipality,60.0
2000,Local governments,data.fowomenseats-proportion,Svínoyar municipality,0.0
2000,Local governments,data.fowomenseats-proportion,Tórshavnar municipality,23.1
2000,Local governments,data.fowomenseats-proportion,Tvøroyrar municipality,0.0
2000,Local governments,data.fowomenseats-proportion,Vága municipality,
2000,Local governments,data.fowomenseats-proportion,Vágs municipality,22.2
2000,Local governments,data.fowomenseats-proportion,Vestmanna municipality,57.1
2000,Local governments,data.fowomenseats-proportion,Viðareiðis municipality,0.0
2000,Local governments,data.fowomenseats-number,All municipalities,62.0
2000,Local governments,data.fowomenseats-number,Bíggjar municipality,0.0
2000,Local governments,data.fowomenseats-number,Eiðis municipality,1.0
2000,Local governments,data.fowomenseats-number,Elduvíkar municipality,1.0
2000,Local governments,data.fowomenseats-number,Eysturmunicipality,
2000,Local governments,data.fowomenseats-number,Fámjins municipality,1.0
2000,Local governments,data.fowomenseats-number,Fuglafjarðar municipality,1.0
2000,Local governments,data.fowomenseats-number,Fugloyar municipality,0.0
2000,Local governments,data.fowomenseats-number,Funnings municipality,1.0
2000,Local governments,data.fowomenseats-number,Gjáar municipality,1.0
2000,Local governments,data.fowomenseats-number,Gøtu municipality,2.0
2000,Local governments,data.fowomenseats-number,Haldórsvíkar municipality,0.0
2000,Local governments,data.fowomenseats-number,Hests municipality,0.0
2000,Local governments,data.fowomenseats-number,Hósvíkar municipality,2.0
2000,Local governments,data.fowomenseats-number,Hovs municipality,2.0
2000,Local governments,data.fowomenseats-number,Húsa municipality,1.0
2000,Local governments,data.fowomenseats-number,Húsavíkar municipality,1.0
2000,Local governments,data.fowomenseats-number,Hvalbiar municipality,1.0
2000,Local governments,data.fowomenseats-number,Hvalvíkar municipality,1.0
2000,Local governments,data.fowomenseats-number,Hvannasunds municipality,2.0
2000,Local governments,data.fowomenseats-number,Kirkjubøar municipality,1.0
2000,Local governments,data.fowomenseats-number,Klaksvíkar municipality,3.0
2000,Local governments,data.fowomenseats-number,Kunoyar municipality,1.0
2000,Local governments,data.fowomenseats-number,Kvívíkar municipality,2.0
2000,Local governments,data.fowomenseats-number,Leirvíkar municipality,3.0
2000,Local governments,data.fowomenseats-number,Miðvágs municipality,4.0
2000,Local governments,data.fowomenseats-number,Mikladals municipality,1.0
2000,Local governments,data.fowomenseats-number,Mykines municipality,1.0
2000,Local governments,data.fowomenseats-number,Nes municipality,2.0
2000,Local governments,data.fowomenseats-number,Nólsoyar municipality,1.0
2000,Local governments,data.fowomenseats-number,Oyndarfjarðar municipality,3.0
2000,Local governments,data.fowomenseats-number,Porkeris municipality,1.0
2000,Local governments,data.fowomenseats-number,Runavíkar municipality,2.0
2000,Local governments,data.fowomenseats-number,Saksunar municipality,0.0
2000,Local governments,data.fowomenseats-number,Sandavágs municipality,1.0
2000,Local governments,data.fowomenseats-number,Sands municipality,1.0
2000,Local governments,data.fowomenseats-number,Sjóvar municipality,0.0
2000,Local governments,data.fowomenseats-number,Skála municipality,0.0
2000,Local governments,data.fowomenseats-number,Skálavíkar municipality,1.0
2000,Local governments,data.fowomenseats-number,Skopunar municipality,2.0
2000,Local governments,data.fowomenseats-number,Skúgvoyar municipality,1.0
2000,Local governments,data.fowomenseats-number,Sørvágs municipality,1.0
2000,Local governments,data.fowomenseats-number,Sumbiar municipality,0.0
2000,Local governments,data.fowomenseats-number,Sunda municipality,3.0
2000,Local governments,data.fowomenseats-number,Svínoyar municipality,0.0
2000,Local governments,data.fowomenseats-number,Tórshavnar municipality,3.0
2000,Local governments,data.fowomenseats-number,Tvøroyrar municipality,0.0
2000,Local governments,data.fowomenseats-number,Vága municipality,
2000,Local governments,data.fowomenseats-number,Vágs municipality,2.0
2000,Local governments,data.fowomenseats-number,Vestmanna municipality,4.0
2000,Local governments,data.fowomenseats-number,Viðareiðis municipality,0.0
2000,Local governments,data.foseats-number,All municipalities,272.0
2000,Local governments,data.foseats-number,Bíggjar municipality,3.0
2000,Local governments,data.foseats-number,Eiðis municipality,7.0
2000,Local governments,data.foseats-number,Elduvíkar municipality,5.0
2000,Local governments,data.foseats-number,Eysturmunicipality,
2000,Local governments,data.foseats-number,Fámjins municipality,5.0
2000,Local governments,data.foseats-number,Fuglafjarðar municipality,9.0
2000,Local governments,data.foseats-number,Fugloyar municipality,3.0
2000,Local governments,data.foseats-number,Funnings municipality,3.0
2000,Local governments,data.foseats-number,Gjáar municipality,3.0
2000,Local governments,data.foseats-number,Gøtu municipality,7.0
2000,Local governments,data.foseats-number,Haldórsvíkar municipality,5.0
2000,Local governments,data.foseats-number,Hests municipality,3.0
2000,Local governments,data.foseats-number,Hósvíkar municipality,5.0
2000,Local governments,data.foseats-number,Hovs municipality,5.0
2000,Local governments,data.foseats-number,Húsa municipality,3.0
2000,Local governments,data.foseats-number,Húsavíkar municipality,5.0
2000,Local governments,data.foseats-number,Hvalbiar municipality,7.0
2000,Local governments,data.foseats-number,Hvalvíkar municipality,5.0
2000,Local governments,data.foseats-number,Hvannasunds municipality,5.0
2000,Local governments,data.foseats-number,Kirkjubøar municipality,5.0
2000,Local governments,data.foseats-number,Klaksvíkar municipality,11.0
2000,Local governments,data.foseats-number,Kunoyar municipality,5.0
2000,Local governments,data.foseats-number,Kvívíkar municipality,7.0
2000,Local governments,data.foseats-number,Leirvíkar municipality,7.0
2000,Local governments,data.foseats-number,Miðvágs municipality,7.0
2000,Local governments,data.foseats-number,Mikladals municipality,3.0
2000,Local governments,data.foseats-number,Mykines municipality,3.0
2000,Local governments,data.foseats-number,Nes municipality,7.0
2000,Local governments,data.foseats-number,Nólsoyar municipality,5.0
2000,Local governments,data.foseats-number,Oyndarfjarðar municipality,5.0
2000,Local governments,data.foseats-number,Porkeris municipality,5.0
2000,Local governments,data.foseats-number,Runavíkar municipality,9.0
2000,Local governments,data.foseats-number,Saksunar municipality,3.0
2000,Local governments,data.foseats-number,Sandavágs municipality,7.0
2000,Local governments,data.foseats-number,Sands municipality,7.0
2000,Local governments,data.foseats-number,Sjóvar municipality,7.0
2000,Local governments,data.foseats-number,Skála municipality,7.0
2000,Local governments,data.foseats-number,Skálavíkar municipality,5.0
2000,Local governments,data.foseats-number,Skopunar municipality,5.0
2000,Local governments,data.foseats-number,Skúgvoyar municipality,3.0
2000,Local governments,data.foseats-number,Sørvágs municipality,7.0
2000,Local governments,data.foseats-number,Sumbiar municipality,5.0
2000,Local governments,data.foseats-number,Sunda municipality,5.0
2000,Local governments,data.foseats-number,Svínoyar municipality,3.0
2000,Local governments,data.foseats-number,Tórshavnar municipality,13.0
2000,Local governments,data.foseats-number,Tvøroyrar municipality,7.0
2000,Local governments,data.foseats-number,Vága municipality,
2000,Local governments,data.foseats-number,Vágs municipality,9.0
2000,Local governments,data.foseats-number,Vestmanna municipality,7.0
2000,Local governments,data.foseats-number,Viðareiðis municipality,5.0
2004,Local governments,data.fowomenseats-proportion,All municipalities,22.7
2004,Local governments,data.fowomenseats-proportion,Bíggjar municipality,
2004,Local governments,data.fowomenseats-proportion,Eiðis municipality,14.3
2004,Local governments,data.fowomenseats-proportion,Elduvíkar municipality,
2004,Local governments,data.fowomenseats-proportion,Eysturmunicipality,
2004,Local governments,data.fowomenseats-proportion,Fámjins municipality,40.0
2004,Local governments,data.fowomenseats-proportion,Fuglafjarðar municipality,11.1
2004,Local governments,data.fowomenseats-proportion,Fugloyar municipality,33.3
2004,Local governments,data.fowomenseats-proportion,Funnings municipality,33.3
2004,Local governments,data.fowomenseats-proportion,Gjáar municipality,
2004,Local governments,data.fowomenseats-proportion,Gøtu municipality,42.9
2004,Local governments,data.fowomenseats-proportion,Haldórsvíkar municipality,
2004,Local governments,data.fowomenseats-proportion,Hests municipality,
2004,Local governments,data.fowomenseats-proportion,Hósvíkar municipality,
2004,Local governments,data.fowomenseats-proportion,Hovs municipality,40.0
2004,Local governments,data.fowomenseats-proportion,Húsa municipality,33.3
2004,Local governments,data.fowomenseats-proportion,Húsavíkar municipality,20.0
2004,Local governments,data.fowomenseats-proportion,Hvalbiar municipality,14.3
2004,Local governments,data.fowomenseats-proportion,Hvalvíkar municipality,
2004,Local governments,data.fowomenseats-proportion,Hvannasunds municipality,20.0
2004,Local governments,data.fowomenseats-proportion,Kirkjubøar municipality,
2004,Local governments,data.fowomenseats-proportion,Klaksvíkar municipality,27.3
2004,Local governments,data.fowomenseats-proportion,Kunoyar municipality,20.0
2004,Local governments,data.fowomenseats-proportion,Kvívíkar municipality,28.6
2004,Local governments,data.fowomenseats-proportion,Leirvíkar municipality,28.6
2004,Local governments,data.fowomenseats-proportion,Miðvágs municipality,14.3
2004,Local governments,data.fowomenseats-proportion,Mikladals municipality,
2004,Local governments,data.fowomenseats-proportion,Mykines municipality,
2004,Local governments,data.fowomenseats-proportion,Nes municipality,28.6
2004,Local governments,data.fowomenseats-proportion,Nólsoyar municipality,
2004,Local governments,data.fowomenseats-proportion,Oyndarfjarðar municipality,
2004,Local governments,data.fowomenseats-proportion,Porkeris municipality,20.0
2004,Local governments,data.fowomenseats-proportion,Runavíkar municipality,0.0
2004,Local governments,data.fowomenseats-proportion,Saksunar municipality,
2004,Local governments,data.fowomenseats-proportion,Sandavágs municipality,14.3
2004,Local governments,data.fowomenseats-proportion,Sands municipality,14.3
2004,Local governments,data.fowomenseats-proportion,Sjóvar municipality,14.3
2004,Local governments,data.fowomenseats-proportion,Skála municipality,
2004,Local governments,data.fowomenseats-proportion,Skálavíkar municipality,20.0
2004,Local governments,data.fowomenseats-proportion,Skopunar municipality,40.0
2004,Local governments,data.fowomenseats-proportion,Skúgvoyar municipality,33.3
2004,Local governments,data.fowomenseats-proportion,Sørvágs municipality,28.6
2004,Local governments,data.fowomenseats-proportion,Sumbiar municipality,0.0
2004,Local governments,data.fowomenseats-proportion,Sunda municipality,18.2
2004,Local governments,data.fowomenseats-proportion,Svínoyar municipality,33.3
2004,Local governments,data.fowomenseats-proportion,Tórshavnar municipality,46.2
2004,Local governments,data.fowomenseats-proportion,Tvøroyrar municipality,14.3
2004,Local governments,data.fowomenseats-proportion,Vága municipality,
2004,Local governments,data.fowomenseats-proportion,Vágs municipality,22.2
2004,Local governments,data.fowomenseats-proportion,Vestmanna municipality,14.3
2004,Local governments,data.fowomenseats-proportion,Viðareiðis municipality,20.0
2004,Local governments,data.fowomenseats-number,All municipalities,50.0
2004,Local governments,data.fowomenseats-number,Bíggjar municipality,
2004,Local governments,data.fowomenseats-number,Eiðis municipality,1.0
2004,Local governments,data.fowomenseats-number,Elduvíkar municipality,
2004,Local governments,data.fowomenseats-number,Eysturmunicipality,
2004,Local governments,data.fowomenseats-number,Fámjins municipality,2.0
2004,Local governments,data.fowomenseats-number,Fuglafjarðar municipality,1.0
2004,Local governments,data.fowomenseats-number,Fugloyar municipality,1.0
2004,Local governments,data.fowomenseats-number,Funnings municipality,1.0
2004,Local governments,data.fowomenseats-number,Gjáar municipality,
2004,Local governments,data.fowomenseats-number,Gøtu municipality,3.0
2004,Local governments,data.fowomenseats-number,Haldórsvíkar municipality,
2004,Local governments,data.fowomenseats-number,Hests municipality,
2004,Local governments,data.fowomenseats-number,Hósvíkar municipality,
2004,Local governments,data.fowomenseats-number,Hovs municipality,2.0
2004,Local governments,data.fowomenseats-number,Húsa municipality,1.0
2004,Local governments,data.fowomenseats-number,Húsavíkar municipality,1.0
2004,Local governments,data.fowomenseats-number,Hvalbiar municipality,1.0
2004,Local governments,data.fowomenseats-number,Hvalvíkar municipality,
2004,Local governments,data.fowomenseats-number,Hvannasunds municipality,1.0
2004,Local governments,data.fowomenseats-number,Kirkjubøar municipality,
2004,Local governments,data.fowomenseats-number,Klaksvíkar municipality,3.0
2004,Local governments,data.fowomenseats-number,Kunoyar municipality,1.0
2004,Local governments,data.fowomenseats-number,Kvívíkar municipality,2.0
2004,Local governments,data.fowomenseats-number,Leirvíkar municipality,2.0
2004,Local governments,data.fowomenseats-number,Miðvágs municipality,1.0
2004,Local governments,data.fowomenseats-number,Mikladals municipality,
2004,Local governments,data.fowomenseats-number,Mykines municipality,
2004,Local governments,data.fowomenseats-number,Nes municipality,2.0
2004,Local governments,data.fowomenseats-number,Nólsoyar municipality,
2004,Local governments,data.fowomenseats-number,Oyndarfjarðar municipality,
2004,Local governments,data.fowomenseats-number,Porkeris municipality,1.0
2004,Local governments,data.fowomenseats-number,Runavíkar municipality,0.0
2004,Local governments,data.fowomenseats-number,Saksunar municipality,
2004,Local governments,data.fowomenseats-number,Sandavágs municipality,1.0
2004,Local governments,data.fowomenseats-number,Sands municipality,1.0
2004,Local governments,data.fowomenseats-number,Sjóvar municipality,1.0
2004,Local governments,data.fowomenseats-number,Skála municipality,
2004,Local governments,data.fowomenseats-number,Skálavíkar municipality,1.0
2004,Local governments,data.fowomenseats-number,Skopunar municipality,2.0
2004,Local governments,data.fowomenseats-number,Skúgvoyar municipality,1.0
2004,Local governments,data.fowomenseats-number,Sørvágs municipality,2.0
2004,Local governments,data.fowomenseats-number,Sumbiar municipality,0.0
2004,Local governments,data.fowomenseats-number,Sunda municipality,2.0
2004,Local governments,data.fowomenseats-number,Svínoyar municipality,1.0
2004,Local governments,data.fowomenseats-number,Tórshavnar municipality,6.0
2004,Local governments,data.fowomenseats-number,Tvøroyrar municipality,1.0
2004,Local governments,data.fowomenseats-number,Vága municipality,
2004,Local governments,data.fowomenseats-number,Vágs municipality,2.0
2004,Local governments,data.fowomenseats-number,Vestmanna municipality,1.0
2004,Local governments,data.fowomenseats-number,Viðareiðis municipality,1.0
2004,Local governments,data.foseats-number,All municipalities,220.0
2004,Local governments,data.foseats-number,Bíggjar municipality,
2004,Local governments,data.foseats-number,Eiðis municipality,7.0
2004,Local governments,data.foseats-number,Elduvíkar municipality,
2004,Local governments,data.foseats-number,Eysturmunicipality,
2004,Local governments,data.foseats-number,Fámjins municipality,5.0
2004,Local governments,data.foseats-number,Fuglafjarðar municipality,9.0
2004,Local governments,data.foseats-number,Fugloyar municipality,3.0
2004,Local governments,data.foseats-number,Funnings municipality,3.0
2004,Local governments,data.foseats-number,Gjáar municipality,
2004,Local governments,data.foseats-number,Gøtu municipality,7.0
2004,Local governments,data.foseats-number,Haldórsvíkar municipality,
2004,Local governments,data.foseats-number,Hests municipality,
2004,Local governments,data.foseats-number,Hósvíkar municipality,
2004,Local governments,data.foseats-number,Hovs municipality,5.0
2004,Local governments,data.foseats-number,Húsa municipality,3.0
2004,Local governments,data.foseats-number,Húsavíkar municipality,5.0
2004,Local governments,data.foseats-number,Hvalbiar municipality,7.0
2004,Local governments,data.foseats-number,Hvalvíkar municipality,
2004,Local governments,data.foseats-number,Hvannasunds municipality,5.0
2004,Local governments,data.foseats-number,Kirkjubøar municipality,
2004,Local governments,data.foseats-number,Klaksvíkar municipality,11.0
2004,Local governments,data.foseats-number,Kunoyar municipality,5.0
2004,Local governments,data.foseats-number,Kvívíkar municipality,7.0
2004,Local governments,data.foseats-number,Leirvíkar municipality,7.0
2004,Local governments,data.foseats-number,Miðvágs municipality,7.0
2004,Local governments,data.foseats-number,Mikladals municipality,
2004,Local governments,data.foseats-number,Mykines municipality,
2004,Local governments,data.foseats-number,Nes municipality,7.0
2004,Local governments,data.foseats-number,Nólsoyar municipality,
2004,Local governments,data.foseats-number,Oyndarfjarðar municipality,
2004,Local governments,data.foseats-number,Porkeris municipality,5.0
2004,Local governments,data.foseats-number,Runavíkar municipality,11.0
2004,Local governments,data.foseats-number,Saksunar municipality,
2004,Local governments,data.foseats-number,Sandavágs municipality,7.0
2004,Local governments,data.foseats-number,Sands municipality,7.0
2004,Local governments,data.foseats-number,Sjóvar municipality,7.0
2004,Local governments,data.foseats-number,Skála municipality,
2004,Local governments,data.foseats-number,Skálavíkar municipality,5.0
2004,Local governments,data.foseats-number,Skopunar municipality,5.0
2004,Local governments,data.foseats-number,Skúgvoyar municipality,3.0
2004,Local governments,data.foseats-number,Sørvágs municipality,7.0
2004,Local governments,data.foseats-number,Sumbiar municipality,5.0
2004,Local governments,data.foseats-number,Sunda municipality,11.0
2004,Local governments,data.foseats-number,Svínoyar municipality,3.0
2004,Local governments,data.foseats-number,Tórshavnar municipality,13.0
2004,Local governments,data.foseats-number,Tvøroyrar municipality,7.0
2004,Local governments,data.foseats-number,Vága municipality,
2004,Local governments,data.foseats-number,Vágs municipality,9.0
2004,Local governments,data.foseats-number,Vestmanna municipality,7.0
2004,Local governments,data.foseats-number,Viðareiðis municipality,5.0
2008,Local governments,data.fowomenseats-proportion,All municipalities,30.8
2008,Local governments,data.fowomenseats-proportion,Bíggjar municipality,
2008,Local governments,data.fowomenseats-proportion,Eiðis municipality,14.3
2008,Local governments,data.fowomenseats-proportion,Elduvíkar municipality,
2008,Local governments,data.fowomenseats-proportion,Eysturmunicipality,33.3
2008,Local governments,data.fowomenseats-proportion,Fámjins municipality,60.0
2008,Local governments,data.fowomenseats-proportion,Fuglafjarðar municipality,22.2
2008,Local governments,data.fowomenseats-proportion,Fugloyar municipality,33.3
2008,Local governments,data.fowomenseats-proportion,Funnings municipality,
2008,Local governments,data.fowomenseats-proportion,Gjáar municipality,
2008,Local governments,data.fowomenseats-proportion,Gøtu municipality,
2008,Local governments,data.fowomenseats-proportion,Haldórsvíkar municipality,
2008,Local governments,data.fowomenseats-proportion,Hests municipality,
2008,Local governments,data.fowomenseats-proportion,Hósvíkar municipality,
2008,Local governments,data.fowomenseats-proportion,Hovs municipality,60.0
2008,Local governments,data.fowomenseats-proportion,Húsa municipality,33.3
2008,Local governments,data.fowomenseats-proportion,Húsavíkar municipality,20.0
2008,Local governments,data.fowomenseats-proportion,Hvalbiar municipality,14.3
2008,Local governments,data.fowomenseats-proportion,Hvalvíkar municipality,
2008,Local governments,data.fowomenseats-proportion,Hvannasunds municipality,60.0
2008,Local governments,data.fowomenseats-proportion,Kirkjubøar municipality,
2008,Local governments,data.fowomenseats-proportion,Klaksvíkar municipality,36.4
2008,Local governments,data.fowomenseats-proportion,Kunoyar municipality,40.0
2008,Local governments,data.fowomenseats-proportion,Kvívíkar municipality,42.9
2008,Local governments,data.fowomenseats-proportion,Leirvíkar municipality,
2008,Local governments,data.fowomenseats-proportion,Miðvágs municipality,
2008,Local governments,data.fowomenseats-proportion,Mikladals municipality,
2008,Local governments,data.fowomenseats-proportion,Mykines municipality,
2008,Local governments,data.fowomenseats-proportion,Nes municipality,28.6
2008,Local governments,data.fowomenseats-proportion,Nólsoyar municipality,
2008,Local governments,data.fowomenseats-proportion,Oyndarfjarðar municipality,
2008,Local governments,data.fowomenseats-proportion,Porkeris municipality,20.0
2008,Local governments,data.fowomenseats-proportion,Runavíkar municipality,27.3
2008,Local governments,data.fowomenseats-proportion,Saksunar municipality,
2008,Local governments,data.fowomenseats-proportion,Sandavágs municipality,
2008,Local governments,data.fowomenseats-proportion,Sands municipality,14.3
2008,Local governments,data.fowomenseats-proportion,Sjóvar municipality,28.6
2008,Local governments,data.fowomenseats-proportion,Skála municipality,
2008,Local governments,data.fowomenseats-proportion,Skálavíkar municipality,20.0
2008,Local governments,data.fowomenseats-proportion,Skopunar municipality,42.9
2008,Local governments,data.fowomenseats-proportion,Skúgvoyar municipality,33.3
2008,Local governments,data.fowomenseats-proportion,Sørvágs municipality,28.6
2008,Local governments,data.fowomenseats-proportion,Sumbiar municipality,20.0
2008,Local governments,data.fowomenseats-proportion,Sunda municipality,36.4
2008,Local governments,data.fowomenseats-proportion,Svínoyar municipality,
2008,Local governments,data.fowomenseats-proportion,Tórshavnar municipality,30.8
2008,Local governments,data.fowomenseats-proportion,Tvøroyrar municipality,14.3
2008,Local governments,data.fowomenseats-proportion,Vága municipality,36.4
2008,Local governments,data.fowomenseats-proportion,Vágs municipality,33.3
2008,Local governments,data.fowomenseats-proportion,Vestmanna municipality,42.9
2008,Local governments,data.fowomenseats-proportion,Viðareiðis municipality,0.0
2008,Local governments,data.fowomenseats-number,All municipalities,64.0
2008,Local governments,data.fowomenseats-number,Bíggjar municipality,
2008,Local governments,data.fowomenseats-number,Eiðis municipality,1.0
2008,Local governments,data.fowomenseats-number,Elduvíkar municipality,
2008,Local governments,data.fowomenseats-number,Eysturmunicipality,3.0
2008,Local governments,data.fowomenseats-number,Fámjins municipality,3.0
2008,Local governments,data.fowomenseats-number,Fuglafjarðar municipality,2.0
2008,Local governments,data.fowomenseats-number,Fugloyar municipality,1.0
2008,Local governments,data.fowomenseats-number,Funnings municipality,
2008,Local governments,data.fowomenseats-number,Gjáar municipality,
2008,Local governments,data.fowomenseats-number,Gøtu municipality,
2008,Local governments,data.fowomenseats-number,Haldórsvíkar municipality,
2008,Local governments,data.fowomenseats-number,Hests municipality,
2008,Local governments,data.fowomenseats-number,Hósvíkar municipality,
2008,Local governments,data.fowomenseats-number,Hovs municipality,3.0
2008,Local governments,data.fowomenseats-number,Húsa municipality,1.0
2008,Local governments,data.fowomenseats-number,Húsavíkar municipality,1.0
2008,Local governments,data.fowomenseats-number,Hvalbiar municipality,1.0
2008,Local governments,data.fowomenseats-number,Hvalvíkar municipality,
2008,Local governments,data.fowomenseats-number,Hvannasunds municipality,3.0
2008,Local governments,data.fowomenseats-number,Kirkjubøar municipality,
2008,Local governments,data.fowomenseats-number,Klaksvíkar municipality,4.0
2008,Local governments,data.fowomenseats-number,Kunoyar municipality,2.0
2008,Local governments,data.fowomenseats-number,Kvívíkar municipality,3.0
2008,Local governments,data.fowomenseats-number,Leirvíkar municipality,
2008,Local governments,data.fowomenseats-number,Miðvágs municipality,
2008,Local governments,data.fowomenseats-number,Mikladals municipality,
2008,Local governments,data.fowomenseats-number,Mykines municipality,
2008,Local governments,data.fowomenseats-number,Nes municipality,2.0
2008,Local governments,data.fowomenseats-number,Nólsoyar municipality,
2008,Local governments,data.fowomenseats-number,Oyndarfjarðar municipality,
2008,Local governments,data.fowomenseats-number,Porkeris municipality,1.0
2008,Local governments,data.fowomenseats-number,Runavíkar municipality,3.0
2008,Local governments,data.fowomenseats-number,Saksunar municipality,
2008,Local governments,data.fowomenseats-number,Sandavágs municipality,
2008,Local governments,data.fowomenseats-number,Sands municipality,1.0
2008,Local governments,data.fowomenseats-number,Sjóvar municipality,2.0
2008,Local governments,data.fowomenseats-number,Skála municipality,
2008,Local governments,data.fowomenseats-number,Skálavíkar municipality,1.0
