Year,Units,material type,Value
2020,"Domestic material consumption per capita (1,000 tonnes)",Biomass,7.92
2020,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.46
2020,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,19.85
2020,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,7.17
2020,"Domestic material consumption per unit of GDP (1,000 tonnes)",,87.42
2020,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,19.55
2020,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,1.14
2020,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,49.03
2020,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,17.7
2020,,,102.72
2020,,Biomass,22.98
2020,,Metallic minerals,1.33
2020,,Non-metallic minerals,57.61
2020,,Fossil energy and other products,20.8
