Year,Series,region,sex,age,Units,GeoCode,Value
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,,pct.,4100,2.4
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,,pct.,4100,2.4
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,9.1
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,7.7
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,6.9
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,8.0
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,6.0
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,6.1
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,4.6
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,4.1
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,3.2
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,4.0
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,3.2
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,3.5
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,4.2
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,00-17 years,pct.,4100,3.3
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,5.1
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,4.4
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,3.9
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,4.0
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,3.4
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,4.2
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,2.3
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,2.8
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,1.8
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,2.8
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,2.1
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,2.4
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,1.5
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,18-24 years,pct.,4100,2.5
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,4.8
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,4.7
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,5.1
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,5.9
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,3.9
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,3.6
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,3.5
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,2.8
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,2.4
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,2.7
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,2.7
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,2.2
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,2.7
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,25-54 years,pct.,4100,2.4
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,3.6
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,3.2
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,3.4
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,3.0
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,2.6
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,1.7
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,1.8
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,1.3
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,2.0
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,0.8
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,1.1
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,1.1
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,0.9
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,55-66 years,pct.,4100,1.8
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,2.7
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,2.9
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,2.4
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,3.5
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,3.1
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,1.9
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,2.5
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,2.2
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,2.6
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,2.1
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,1.9
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,1.6
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,1.1
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,,67+ years,pct.,4100,1.5
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,5.7
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,5.3
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,4.7
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,5.9
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,4.4
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,4.2
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,3.5
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,2.9
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,2.8
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,3.0
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,2.8
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,2.7
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,2.5
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,,pct.,4100,2.6
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,8.7
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,8.1
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,5.7
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,7.7
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,6.5
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,6.2
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,4.7
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,4.0
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,2.9
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,3.5
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,3.1
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,3.2
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,3.6
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,00-17 years,pct.,4100,2.8
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,6.4
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,5.6
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,5.1
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,6.3
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,4.8
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,5.8
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,3.2
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,3.6
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,3.0
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,3.7
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,2.5
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,3.7
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,1.5
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,18-24 years,pct.,4100,3.8
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,5.8
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,5.2
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,5.5
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,6.7
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,4.1
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,4.7
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,3.9
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,2.8
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,2.6
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,3.7
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,3.3
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,2.9
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,3.1
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,25-54 years,pct.,4100,2.8
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,2.5
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,2.8
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,2.7
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,3.1
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,2.6
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,1.3
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,1.5
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,1.3
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,2.3
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,1.0
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,1.7
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,1.2
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,0.9
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,55-66 years,pct.,4100,1.6
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,2.2
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,2.9
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,2.8
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,3.7
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,3.2
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,2.0
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,2.6
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,2.4
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,3.5
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,2.2
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,2.2
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,1.9
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,1.6
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Males,67+ years,pct.,4100,2.0
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,5.3
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,4.7
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,5.0
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,5.1
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,3.8
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,3.3
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,3.0
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,2.8
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,2.2
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,2.3
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,2.1
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,1.9
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,2.3
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,,pct.,4100,2.2
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,9.4
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,7.4
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,8.0
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,8.2
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,5.6
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,6.0
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,4.5
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,4.2
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,3.5
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,4.4
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,3.4
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,3.7
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,4.7
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,00-17 years,pct.,4100,3.7
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,4.0
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,3.3
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,2.8
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,2.1
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,2.3
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,2.8
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,1.5
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,2.1
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,0.7
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,2.0
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,1.7
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,1.2
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,1.5
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,18-24 years,pct.,4100,1.5
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,4.0
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,4.3
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,4.9
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,5.3
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,3.6
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,2.7
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,3.1
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,2.8
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,2.1
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,1.9
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,2.1
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,1.6
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,2.3
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,25-54 years,pct.,4100,2.1
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,4.4
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,3.5
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,4.0
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,3.0
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,2.7
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,2.0
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,2.0
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,1.3
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,1.8
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,0.7
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,0.6
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,1.1
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,0.8
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,55-66 years,pct.,4100,1.9
2009,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,3.2
2010,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,2.9
2011,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,1.9
2012,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,3.1
2013,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,3.0
2014,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,1.7
2015,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,2.4
2016,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,2.1
2017,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,1.6
2018,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,2.0
2019,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,1.5
2020,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,1.2
2021,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,0.6
2022,Carbon dioxide emissions from fuel combustion,Norðuroyggjar region,Females,67+ years,pct.,4100,1.0
2009,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,6.7
2010,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,4.4
2011,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,5.2
2012,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,5.9
2013,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,5.3
2014,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,4.6
2015,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,6.2
2016,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,3.8
2017,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,3.9
2018,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,4.3
2019,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,3.6
2020,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,3.4
2021,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,4.1
2022,Carbon dioxide emissions from fuel combustion,Sandoy region,,,pct.,4500,3.7
2009,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,8.0
2010,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,6.4
2011,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,8.0
2012,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,7.6
2013,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,7.9
2014,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,5.5
2015,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,8.9
2016,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,4.5
2017,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,6.1
2018,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,6.8
2019,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,7.1
2020,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,6.3
2021,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,7.5
2022,Carbon dioxide emissions from fuel combustion,Sandoy region,,00-17 years,pct.,4500,5.0
2009,Carbon dioxide emissions from fuel combustion,Sandoy region,,18-24 years,pct.,4500,5.4
2010,Carbon dioxide emissions from fuel combustion,Sandoy region,,18-24 years,pct.,4500,0.0
2011,Carbon dioxide emissions from fuel combustion,Sandoy region,,18-24 years,pct.,4500,2.9
2012,Carbon dioxide emissions from fuel combustion,Sandoy region,,18-24 years,pct.,4500,9.8
2013,Carbon dioxide emissions from fuel combustion,Sandoy region,,18-24 years,pct.,4500,4.6
2014,Carbon dioxide emissions from fuel combustion,Sandoy region,,18-24 years,pct.,4500,8.3
2015,Carbon dioxide emissions from fuel combustion,Sandoy region,,18-24 years,pct.,4500,7.2
