Year,Series,party,unit,Value
2016,Local goverment,Hov municipality,Seats held by women,2.0
2016,Local goverment,Hov municipality,Number of seats,5.0
2020,Local goverment,Hov municipality,Proportion of seats held by women,33.3
2020,Local goverment,Hov municipality,Seats held by women,1.0
2020,Local goverment,Hov municipality,Number of seats,3.0
2024,Local goverment,Hov municipality,Proportion of seats held by women,60.0
2024,Local goverment,Hov municipality,Seats held by women,3.0
2024,Local goverment,Hov municipality,Number of seats,5.0
1992,Local goverment,Húsar municipality,Proportion of seats held by women,0.0
1992,Local goverment,Húsar municipality,Seats held by women,0.0
1992,Local goverment,Húsar municipality,Number of seats,5.0
1996,Local goverment,Húsar municipality,Proportion of seats held by women,20.0
1996,Local goverment,Húsar municipality,Seats held by women,1.0
1996,Local goverment,Húsar municipality,Number of seats,5.0
2000,Local goverment,Húsar municipality,Proportion of seats held by women,33.3
2000,Local goverment,Húsar municipality,Seats held by women,1.0
2000,Local goverment,Húsar municipality,Number of seats,3.0
2004,Local goverment,Húsar municipality,Proportion of seats held by women,33.3
2004,Local goverment,Húsar municipality,Seats held by women,1.0
2004,Local goverment,Húsar municipality,Number of seats,3.0
1992,Local goverment,Húsavík municipality,Proportion of seats held by women,20.0
1992,Local goverment,Húsavík municipality,Seats held by women,1.0
1992,Local goverment,Húsavík municipality,Number of seats,5.0
1996,Local goverment,Húsavík municipality,Proportion of seats held by women,20.0
1996,Local goverment,Húsavík municipality,Seats held by women,1.0
1996,Local goverment,Húsavík municipality,Number of seats,5.0
2000,Local goverment,Húsavík municipality,Proportion of seats held by women,20.0
2000,Local goverment,Húsavík municipality,Seats held by women,1.0
2000,Local goverment,Húsavík municipality,Number of seats,5.0
2004,Local goverment,Húsavík municipality,Proportion of seats held by women,20.0
2004,Local goverment,Húsavík municipality,Seats held by women,1.0
2004,Local goverment,Húsavík municipality,Number of seats,5.0
2012,Local goverment,Húsavík municipality,Proportion of seats held by women,40.0
2012,Local goverment,Húsavík municipality,Seats held by women,2.0
2012,Local goverment,Húsavík municipality,Number of seats,5.0
2016,Local goverment,Húsavík municipality,Proportion of seats held by women,60.0
2016,Local goverment,Húsavík municipality,Seats held by women,3.0
2016,Local goverment,Húsavík municipality,Number of seats,5.0
2020,Local goverment,Húsavík municipality,Proportion of seats held by women,40.0
2020,Local goverment,Húsavík municipality,Seats held by women,2.0
2020,Local goverment,Húsavík municipality,Number of seats,5.0
2024,Local goverment,Húsavík municipality,Proportion of seats held by women,40.0
2024,Local goverment,Húsavík municipality,Seats held by women,2.0
2024,Local goverment,Húsavík municipality,Number of seats,5.0
1992,Local goverment,Hvalba municipality,Proportion of seats held by women,0.0
1992,Local goverment,Hvalba municipality,Seats held by women,0.0
1992,Local goverment,Hvalba municipality,Number of seats,5.0
1996,Local goverment,Hvalba municipality,Proportion of seats held by women,0.0
1996,Local goverment,Hvalba municipality,Seats held by women,0.0
1996,Local goverment,Hvalba municipality,Number of seats,5.0
2000,Local goverment,Hvalba municipality,Proportion of seats held by women,14.3
2000,Local goverment,Hvalba municipality,Seats held by women,1.0
2000,Local goverment,Hvalba municipality,Number of seats,7.0
2004,Local goverment,Hvalba municipality,Proportion of seats held by women,14.3
2004,Local goverment,Hvalba municipality,Seats held by women,1.0
2004,Local goverment,Hvalba municipality,Number of seats,7.0
2012,Local goverment,Hvalba municipality,Proportion of seats held by women,0.0
2012,Local goverment,Hvalba municipality,Seats held by women,0.0
2012,Local goverment,Hvalba municipality,Number of seats,7.0
2016,Local goverment,Hvalba municipality,Proportion of seats held by women,28.6
2016,Local goverment,Hvalba municipality,Seats held by women,2.0
2016,Local goverment,Hvalba municipality,Number of seats,7.0
2020,Local goverment,Hvalba municipality,Proportion of seats held by women,28.6
2020,Local goverment,Hvalba municipality,Seats held by women,2.0
2020,Local goverment,Hvalba municipality,Number of seats,7.0
2024,Local goverment,Hvalba municipality,Proportion of seats held by women,14.3
2024,Local goverment,Hvalba municipality,Seats held by women,1.0
2024,Local goverment,Hvalba municipality,Number of seats,7.0
1992,Local goverment,Hvalvík municipality,Proportion of seats held by women,33.3
1992,Local goverment,Hvalvík municipality,Seats held by women,1.0
1992,Local goverment,Hvalvík municipality,Number of seats,3.0
1996,Local goverment,Hvalvík municipality,Proportion of seats held by women,0.0
1996,Local goverment,Hvalvík municipality,Seats held by women,0.0
1996,Local goverment,Hvalvík municipality,Number of seats,4.0
2000,Local goverment,Hvalvík municipality,Proportion of seats held by women,0.0
2000,Local goverment,Hvalvík municipality,Seats held by women,0.0
2000,Local goverment,Hvalvík municipality,Number of seats,1.0
1992,Local goverment,Hvannasund municipality,Proportion of seats held by women,0.0
1992,Local goverment,Hvannasund municipality,Seats held by women,0.0
1992,Local goverment,Hvannasund municipality,Number of seats,5.0
1996,Local goverment,Hvannasund municipality,Proportion of seats held by women,0.0
1996,Local goverment,Hvannasund municipality,Seats held by women,0.0
1996,Local goverment,Hvannasund municipality,Number of seats,6.0
2000,Local goverment,Hvannasund municipality,Proportion of seats held by women,40.0
2000,Local goverment,Hvannasund municipality,Seats held by women,2.0
2000,Local goverment,Hvannasund municipality,Number of seats,5.0
2004,Local goverment,Hvannasund municipality,Proportion of seats held by women,20.0
2004,Local goverment,Hvannasund municipality,Seats held by women,1.0
2004,Local goverment,Hvannasund municipality,Number of seats,5.0
2012,Local goverment,Hvannasund municipality,Proportion of seats held by women,40.0
2012,Local goverment,Hvannasund municipality,Seats held by women,2.0
2012,Local goverment,Hvannasund municipality,Number of seats,5.0
2016,Local goverment,Hvannasund municipality,Proportion of seats held by women,40.0
2016,Local goverment,Hvannasund municipality,Seats held by women,2.0
2016,Local goverment,Hvannasund municipality,Number of seats,5.0
2020,Local goverment,Hvannasund municipality,Proportion of seats held by women,80.0
2020,Local goverment,Hvannasund municipality,Seats held by women,4.0
2020,Local goverment,Hvannasund municipality,Number of seats,5.0
2024,Local goverment,Hvannasund municipality,Proportion of seats held by women,0.0
2024,Local goverment,Hvannasund municipality,Seats held by women,0.0
2024,Local goverment,Hvannasund municipality,Number of seats,5.0
1992,Local goverment,Kirkjubøur municipality,Proportion of seats held by women,25.0
1992,Local goverment,Kirkjubøur municipality,Seats held by women,1.0
1992,Local goverment,Kirkjubøur municipality,Number of seats,4.0
1996,Local goverment,Kirkjubøur municipality,Proportion of seats held by women,33.3
1996,Local goverment,Kirkjubøur municipality,Seats held by women,1.0
1996,Local goverment,Kirkjubøur municipality,Number of seats,3.0
2000,Local goverment,Kirkjubøur municipality,Proportion of seats held by women,33.3
2000,Local goverment,Kirkjubøur municipality,Seats held by women,1.0
2000,Local goverment,Kirkjubøur municipality,Number of seats,3.0
1992,Local goverment,Klaksvík municipality,Proportion of seats held by women,18.2
1992,Local goverment,Klaksvík municipality,Seats held by women,2.0
1992,Local goverment,Klaksvík municipality,Number of seats,11.0
1996,Local goverment,Klaksvík municipality,Proportion of seats held by women,18.2
1996,Local goverment,Klaksvík municipality,Seats held by women,2.0
1996,Local goverment,Klaksvík municipality,Number of seats,11.0
2000,Local goverment,Klaksvík municipality,Proportion of seats held by women,25.0
2000,Local goverment,Klaksvík municipality,Seats held by women,3.0
2000,Local goverment,Klaksvík municipality,Number of seats,12.0
2004,Local goverment,Klaksvík municipality,Proportion of seats held by women,25.0
2004,Local goverment,Klaksvík municipality,Seats held by women,3.0
2004,Local goverment,Klaksvík municipality,Number of seats,12.0
2012,Local goverment,Klaksvík municipality,Proportion of seats held by women,45.5
2012,Local goverment,Klaksvík municipality,Seats held by women,5.0
2012,Local goverment,Klaksvík municipality,Number of seats,11.0
2016,Local goverment,Klaksvík municipality,Proportion of seats held by women,36.4
2016,Local goverment,Klaksvík municipality,Seats held by women,4.0
2016,Local goverment,Klaksvík municipality,Number of seats,11.0
2020,Local goverment,Klaksvík municipality,Proportion of seats held by women,36.4
2020,Local goverment,Klaksvík municipality,Seats held by women,4.0
2020,Local goverment,Klaksvík municipality,Number of seats,11.0
2024,Local goverment,Klaksvík municipality,Proportion of seats held by women,27.3
2024,Local goverment,Klaksvík municipality,Seats held by women,3.0
2024,Local goverment,Klaksvík municipality,Number of seats,11.0
1992,Local goverment,Kollafjørður municipality,Proportion of seats held by women,12.5
1992,Local goverment,Kollafjørður municipality,Seats held by women,1.0
1992,Local goverment,Kollafjørður municipality,Number of seats,8.0
1996,Local goverment,Kollafjørður municipality,Proportion of seats held by women,0.0
1996,Local goverment,Kollafjørður municipality,Seats held by women,0.0
1996,Local goverment,Kollafjørður municipality,Number of seats,7.0
1992,Local goverment,Kunoy municipality,Proportion of seats held by women,0.0
1992,Local goverment,Kunoy municipality,Seats held by women,0.0
1992,Local goverment,Kunoy municipality,Number of seats,5.0
1996,Local goverment,Kunoy municipality,Proportion of seats held by women,20.0
1996,Local goverment,Kunoy municipality,Seats held by women,1.0
1996,Local goverment,Kunoy municipality,Number of seats,5.0
2000,Local goverment,Kunoy municipality,Proportion of seats held by women,20.0
2000,Local goverment,Kunoy municipality,Seats held by women,1.0
2000,Local goverment,Kunoy municipality,Number of seats,5.0
2004,Local goverment,Kunoy municipality,Proportion of seats held by women,20.0
2004,Local goverment,Kunoy municipality,Seats held by women,1.0
2004,Local goverment,Kunoy municipality,Number of seats,5.0
2012,Local goverment,Kunoy municipality,Proportion of seats held by women,40.0
2012,Local goverment,Kunoy municipality,Seats held by women,2.0
2012,Local goverment,Kunoy municipality,Number of seats,5.0
2016,Local goverment,Kunoy municipality,Proportion of seats held by women,40.0
2016,Local goverment,Kunoy municipality,Seats held by women,2.0
2016,Local goverment,Kunoy municipality,Number of seats,5.0
2020,Local goverment,Kunoy municipality,Proportion of seats held by women,20.0
2020,Local goverment,Kunoy municipality,Seats held by women,1.0
2020,Local goverment,Kunoy municipality,Number of seats,5.0
2024,Local goverment,Kunoy municipality,Proportion of seats held by women,40.0
2024,Local goverment,Kunoy municipality,Seats held by women,2.0
2024,Local goverment,Kunoy municipality,Number of seats,5.0
1992,Local goverment,Kvívík municipality,Proportion of seats held by women,20.0
1992,Local goverment,Kvívík municipality,Seats held by women,1.0
1992,Local goverment,Kvívík municipality,Number of seats,5.0
1996,Local goverment,Kvívík municipality,Proportion of seats held by women,20.0
1996,Local goverment,Kvívík municipality,Seats held by women,1.0
1996,Local goverment,Kvívík municipality,Number of seats,5.0
2000,Local goverment,Kvívík municipality,Proportion of seats held by women,28.6
2000,Local goverment,Kvívík municipality,Seats held by women,2.0
2000,Local goverment,Kvívík municipality,Number of seats,7.0
2004,Local goverment,Kvívík municipality,Proportion of seats held by women,28.6
2004,Local goverment,Kvívík municipality,Seats held by women,2.0
2004,Local goverment,Kvívík municipality,Number of seats,7.0
2012,Local goverment,Kvívík municipality,Proportion of seats held by women,42.9
2012,Local goverment,Kvívík municipality,Seats held by women,3.0
2012,Local goverment,Kvívík municipality,Number of seats,7.0
2016,Local goverment,Kvívík municipality,Proportion of seats held by women,42.9
2016,Local goverment,Kvívík municipality,Seats held by women,3.0
2016,Local goverment,Kvívík municipality,Number of seats,7.0
2020,Local goverment,Kvívík municipality,Proportion of seats held by women,42.9
2020,Local goverment,Kvívík municipality,Seats held by women,3.0
2020,Local goverment,Kvívík municipality,Number of seats,7.0
2024,Local goverment,Kvívík municipality,Proportion of seats held by women,57.1
2024,Local goverment,Kvívík municipality,Seats held by women,4.0
2024,Local goverment,Kvívík municipality,Number of seats,7.0
1992,Local goverment,Leirvík municipality,Proportion of seats held by women,0.0
1992,Local goverment,Leirvík municipality,Seats held by women,0.0
1992,Local goverment,Leirvík municipality,Number of seats,5.0
1996,Local goverment,Leirvík municipality,Proportion of seats held by women,0.0
1996,Local goverment,Leirvík municipality,Seats held by women,0.0
1996,Local goverment,Leirvík municipality,Number of seats,5.0
2000,Local goverment,Leirvík municipality,Proportion of seats held by women,60.0
2000,Local goverment,Leirvík municipality,Seats held by women,3.0
2000,Local goverment,Leirvík municipality,Number of seats,5.0
2004,Local goverment,Leirvík municipality,Proportion of seats held by women,50.0
2004,Local goverment,Leirvík municipality,Seats held by women,1.0
2004,Local goverment,Leirvík municipality,Number of seats,2.0
1992,Local goverment,Miðvágur municipality,Proportion of seats held by women,33.3
1992,Local goverment,Miðvágur municipality,Seats held by women,2.0
1992,Local goverment,Miðvágur municipality,Number of seats,6.0
1996,Local goverment,Miðvágur municipality,Proportion of seats held by women,50.0
1996,Local goverment,Miðvágur municipality,Seats held by women,4.0
1996,Local goverment,Miðvágur municipality,Number of seats,8.0
2000,Local goverment,Miðvágur municipality,Proportion of seats held by women,40.0
2000,Local goverment,Miðvágur municipality,Seats held by women,4.0
2000,Local goverment,Miðvágur municipality,Number of seats,10.0
2004,Local goverment,Miðvágur municipality,Proportion of seats held by women,8.3
2004,Local goverment,Miðvágur municipality,Seats held by women,1.0
2004,Local goverment,Miðvágur municipality,Number of seats,12.0
1992,Local goverment,Mikladalur municipality,Proportion of seats held by women,20.0
1992,Local goverment,Mikladalur municipality,Seats held by women,1.0
1992,Local goverment,Mikladalur municipality,Number of seats,5.0
1996,Local goverment,Mikladalur municipality,Proportion of seats held by women,40.0
1996,Local goverment,Mikladalur municipality,Seats held by women,2.0
1996,Local goverment,Mikladalur municipality,Number of seats,5.0
2000,Local goverment,Mikladalur municipality,Proportion of seats held by women,33.3
2000,Local goverment,Mikladalur municipality,Seats held by women,1.0
2000,Local goverment,Mikladalur municipality,Number of seats,3.0
1992,Local goverment,Mykines municipality,Proportion of seats held by women,33.3
1992,Local goverment,Mykines municipality,Seats held by women,1.0
1992,Local goverment,Mykines municipality,Number of seats,3.0
1996,Local goverment,Mykines municipality,Proportion of seats held by women,33.3
1996,Local goverment,Mykines municipality,Seats held by women,1.0
1996,Local goverment,Mykines municipality,Number of seats,3.0
2000,Local goverment,Mykines municipality,Proportion of seats held by women,33.3
2000,Local goverment,Mykines municipality,Seats held by women,1.0
2000,Local goverment,Mykines municipality,Number of seats,3.0
1992,Local goverment,Nes municipality,Proportion of seats held by women,14.3
1992,Local goverment,Nes municipality,Seats held by women,1.0
1992,Local goverment,Nes municipality,Number of seats,7.0
1996,Local goverment,Nes municipality,Proportion of seats held by women,28.6
1996,Local goverment,Nes municipality,Seats held by women,2.0
1996,Local goverment,Nes municipality,Number of seats,7.0
2000,Local goverment,Nes municipality,Proportion of seats held by women,28.6
2000,Local goverment,Nes municipality,Seats held by women,2.0
2000,Local goverment,Nes municipality,Number of seats,7.0
2004,Local goverment,Nes municipality,Proportion of seats held by women,28.6
2004,Local goverment,Nes municipality,Seats held by women,2.0
2004,Local goverment,Nes municipality,Number of seats,7.0
2012,Local goverment,Nes municipality,Proportion of seats held by women,28.6
2012,Local goverment,Nes municipality,Seats held by women,2.0
2012,Local goverment,Nes municipality,Number of seats,7.0
2016,Local goverment,Nes municipality,Proportion of seats held by women,14.3
2016,Local goverment,Nes municipality,Seats held by women,1.0
2016,Local goverment,Nes municipality,Number of seats,7.0
2020,Local goverment,Nes municipality,Proportion of seats held by women,28.6
2020,Local goverment,Nes municipality,Seats held by women,2.0
2020,Local goverment,Nes municipality,Number of seats,7.0
2024,Local goverment,Nes municipality,Proportion of seats held by women,28.6
2024,Local goverment,Nes municipality,Seats held by women,2.0
2024,Local goverment,Nes municipality,Number of seats,7.0
1992,Local goverment,Nólsoy municipality,Proportion of seats held by women,33.3
1992,Local goverment,Nólsoy municipality,Seats held by women,1.0
1992,Local goverment,Nólsoy municipality,Number of seats,3.0
1996,Local goverment,Nólsoy municipality,Proportion of seats held by women,0.0
1996,Local goverment,Nólsoy municipality,Seats held by women,0.0
1996,Local goverment,Nólsoy municipality,Number of seats,4.0
2000,Local goverment,Nólsoy municipality,Proportion of seats held by women,25.0
2000,Local goverment,Nólsoy municipality,Seats held by women,1.0
2000,Local goverment,Nólsoy municipality,Number of seats,4.0
1992,Local goverment,Oyndarfjørður municipality,Proportion of seats held by women,0.0
1992,Local goverment,Oyndarfjørður municipality,Seats held by women,0.0
1992,Local goverment,Oyndarfjørður municipality,Number of seats,4.0
1996,Local goverment,Oyndarfjørður municipality,Proportion of seats held by women,0.0
1996,Local goverment,Oyndarfjørður municipality,Seats held by women,0.0
1996,Local goverment,Oyndarfjørður municipality,Number of seats,3.0
2000,Local goverment,Oyndarfjørður municipality,Proportion of seats held by women,75.0
2000,Local goverment,Oyndarfjørður municipality,Seats held by women,3.0
2000,Local goverment,Oyndarfjørður municipality,Number of seats,4.0
1992,Local goverment,Porkeri municipality,Proportion of seats held by women,0.0
1992,Local goverment,Porkeri municipality,Seats held by women,0.0
1992,Local goverment,Porkeri municipality,Number of seats,5.0
1996,Local goverment,Porkeri municipality,Proportion of seats held by women,20.0
1996,Local goverment,Porkeri municipality,Seats held by women,1.0
1996,Local goverment,Porkeri municipality,Number of seats,5.0
2000,Local goverment,Porkeri municipality,Proportion of seats held by women,20.0
2000,Local goverment,Porkeri municipality,Seats held by women,1.0
2000,Local goverment,Porkeri municipality,Number of seats,5.0
2004,Local goverment,Porkeri municipality,Proportion of seats held by women,20.0
2004,Local goverment,Porkeri municipality,Seats held by women,1.0
2004,Local goverment,Porkeri municipality,Number of seats,5.0
2012,Local goverment,Porkeri municipality,Proportion of seats held by women,20.0
2012,Local goverment,Porkeri municipality,Seats held by women,1.0
2012,Local goverment,Porkeri municipality,Number of seats,5.0
2016,Local goverment,Porkeri municipality,Proportion of seats held by women,40.0
2016,Local goverment,Porkeri municipality,Seats held by women,2.0
2016,Local goverment,Porkeri municipality,Number of seats,5.0
2020,Local goverment,Porkeri municipality,Proportion of seats held by women,40.0
2020,Local goverment,Porkeri municipality,Seats held by women,2.0
2020,Local goverment,Porkeri municipality,Number of seats,5.0
2024,Local goverment,Porkeri municipality,Proportion of seats held by women,60.0
2024,Local goverment,Porkeri municipality,Seats held by women,3.0
2024,Local goverment,Porkeri municipality,Number of seats,5.0
1992,Local goverment,Runavík municipality,Proportion of seats held by women,0.0
1992,Local goverment,Runavík municipality,Seats held by women,0.0
1992,Local goverment,Runavík municipality,Number of seats,10.0
1996,Local goverment,Runavík municipality,Proportion of seats held by women,0.0
1996,Local goverment,Runavík municipality,Seats held by women,0.0
1996,Local goverment,Runavík municipality,Number of seats,12.0
2000,Local goverment,Runavík municipality,Proportion of seats held by women,13.3
2000,Local goverment,Runavík municipality,Seats held by women,2.0
2000,Local goverment,Runavík municipality,Number of seats,15.0
2004,Local goverment,Runavík municipality,Proportion of seats held by women,0.0
2004,Local goverment,Runavík municipality,Seats held by women,0.0
2004,Local goverment,Runavík municipality,Number of seats,12.0
2012,Local goverment,Runavík municipality,Proportion of seats held by women,9.1
2012,Local goverment,Runavík municipality,Seats held by women,1.0
2012,Local goverment,Runavík municipality,Number of seats,11.0
2016,Local goverment,Runavík municipality,Proportion of seats held by women,27.3
2016,Local goverment,Runavík municipality,Seats held by women,3.0
2016,Local goverment,Runavík municipality,Number of seats,11.0
2020,Local goverment,Runavík municipality,Proportion of seats held by women,36.4
2020,Local goverment,Runavík municipality,Seats held by women,4.0
2020,Local goverment,Runavík municipality,Number of seats,11.0
2024,Local goverment,Runavík municipality,Proportion of seats held by women,9.1
2024,Local goverment,Runavík municipality,Seats held by women,1.0
2024,Local goverment,Runavík municipality,Number of seats,11.0
1992,Local goverment,Saksun municipality,Proportion of seats held by women,100.0
1992,Local goverment,Saksun municipality,Seats held by women,1.0
1992,Local goverment,Saksun municipality,Number of seats,1.0
1996,Local goverment,Saksun municipality,Proportion of seats held by women,0.0
1996,Local goverment,Saksun municipality,Seats held by women,0.0
1996,Local goverment,Saksun municipality,Number of seats,1.0
2000,Local goverment,Saksun municipality,Proportion of seats held by women,0.0
2000,Local goverment,Saksun municipality,Seats held by women,0.0
2000,Local goverment,Saksun municipality,Number of seats,1.0
1992,Local goverment,Sandavágur municipality,Proportion of seats held by women,20.0
1992,Local goverment,Sandavágur municipality,Seats held by women,1.0
1992,Local goverment,Sandavágur municipality,Number of seats,5.0
1996,Local goverment,Sandavágur municipality,Proportion of seats held by women,25.0
1996,Local goverment,Sandavágur municipality,Seats held by women,1.0
1996,Local goverment,Sandavágur municipality,Number of seats,4.0
2000,Local goverment,Sandavágur municipality,Proportion of seats held by women,25.0
2000,Local goverment,Sandavágur municipality,Seats held by women,1.0
2000,Local goverment,Sandavágur municipality,Number of seats,4.0
2004,Local goverment,Sandavágur municipality,Proportion of seats held by women,50.0
2004,Local goverment,Sandavágur municipality,Seats held by women,1.0
2004,Local goverment,Sandavágur municipality,Number of seats,2.0
1992,Local goverment,Sandur municipality,Proportion of seats held by women,0.0
1992,Local goverment,Sandur municipality,Seats held by women,0.0
1992,Local goverment,Sandur municipality,Number of seats,5.0
1996,Local goverment,Sandur municipality,Proportion of seats held by women,40.0
1996,Local goverment,Sandur municipality,Seats held by women,2.0
1996,Local goverment,Sandur municipality,Number of seats,5.0
2000,Local goverment,Sandur municipality,Proportion of seats held by women,14.3
2000,Local goverment,Sandur municipality,Seats held by women,1.0
2000,Local goverment,Sandur municipality,Number of seats,7.0
2004,Local goverment,Sandur municipality,Proportion of seats held by women,14.3
2004,Local goverment,Sandur municipality,Seats held by women,1.0
2004,Local goverment,Sandur municipality,Number of seats,7.0
2012,Local goverment,Sandur municipality,Proportion of seats held by women,0.0
2012,Local goverment,Sandur municipality,Seats held by women,0.0
2012,Local goverment,Sandur municipality,Number of seats,7.0
2016,Local goverment,Sandur municipality,Proportion of seats held by women,14.3
2016,Local goverment,Sandur municipality,Seats held by women,1.0
2016,Local goverment,Sandur municipality,Number of seats,7.0
2020,Local goverment,Sandur municipality,Proportion of seats held by women,42.9
2020,Local goverment,Sandur municipality,Seats held by women,3.0
2020,Local goverment,Sandur municipality,Number of seats,7.0
2024,Local goverment,Sandur municipality,Proportion of seats held by women,14.3
2024,Local goverment,Sandur municipality,Seats held by women,1.0
2024,Local goverment,Sandur municipality,Number of seats,7.0
1992,Local goverment,Sjóvar municipality,Proportion of seats held by women,0.0
1992,Local goverment,Sjóvar municipality,Seats held by women,0.0
1992,Local goverment,Sjóvar municipality,Number of seats,5.0
1996,Local goverment,Sjóvar municipality,Proportion of seats held by women,20.0
1996,Local goverment,Sjóvar municipality,Seats held by women,1.0
1996,Local goverment,Sjóvar municipality,Number of seats,5.0
2000,Local goverment,Sjóvar municipality,Proportion of seats held by women,14.3
2000,Local goverment,Sjóvar municipality,Seats held by women,1.0
2000,Local goverment,Sjóvar municipality,Number of seats,7.0
2004,Local goverment,Sjóvar municipality,Proportion of seats held by women,14.3
2004,Local goverment,Sjóvar municipality,Seats held by women,1.0
2004,Local goverment,Sjóvar municipality,Number of seats,7.0
2012,Local goverment,Sjóvar municipality,Proportion of seats held by women,14.3
2012,Local goverment,Sjóvar municipality,Seats held by women,1.0
2012,Local goverment,Sjóvar municipality,Number of seats,7.0
2016,Local goverment,Sjóvar municipality,Proportion of seats held by women,14.3
2016,Local goverment,Sjóvar municipality,Seats held by women,1.0
2016,Local goverment,Sjóvar municipality,Number of seats,7.0
2020,Local goverment,Sjóvar municipality,Proportion of seats held by women,0.0
2020,Local goverment,Sjóvar municipality,Seats held by women,0.0
2020,Local goverment,Sjóvar municipality,Number of seats,7.0
2024,Local goverment,Sjóvar municipality,Proportion of seats held by women,42.9
2024,Local goverment,Sjóvar municipality,Seats held by women,3.0
2024,Local goverment,Sjóvar municipality,Number of seats,7.0
1992,Local goverment,Skála municipality,Proportion of seats held by women,20.0
1992,Local goverment,Skála municipality,Seats held by women,1.0
1992,Local goverment,Skála municipality,Number of seats,5.0
1996,Local goverment,Skála municipality,Proportion of seats held by women,40.0
1996,Local goverment,Skála municipality,Seats held by women,2.0
1996,Local goverment,Skála municipality,Number of seats,5.0
2000,Local goverment,Skála municipality,Proportion of seats held by women,0.0
2000,Local goverment,Skála municipality,Seats held by women,0.0
2000,Local goverment,Skála municipality,Number of seats,3.0
1992,Local goverment,Skálavík municipality,Proportion of seats held by women,0.0
1992,Local goverment,Skálavík municipality,Seats held by women,0.0
1992,Local goverment,Skálavík municipality,Number of seats,5.0
1996,Local goverment,Skálavík municipality,Proportion of seats held by women,40.0
1996,Local goverment,Skálavík municipality,Seats held by women,2.0
1996,Local goverment,Skálavík municipality,Number of seats,5.0
2000,Local goverment,Skálavík municipality,Proportion of seats held by women,20.0
2000,Local goverment,Skálavík municipality,Seats held by women,1.0
2000,Local goverment,Skálavík municipality,Number of seats,5.0
2004,Local goverment,Skálavík municipality,Proportion of seats held by women,20.0
2004,Local goverment,Skálavík municipality,Seats held by women,1.0
2004,Local goverment,Skálavík municipality,Number of seats,5.0
2012,Local goverment,Skálavík municipality,Proportion of seats held by women,60.0
2012,Local goverment,Skálavík municipality,Seats held by women,3.0
2012,Local goverment,Skálavík municipality,Number of seats,5.0
2016,Local goverment,Skálavík municipality,Proportion of seats held by women,60.0
2016,Local goverment,Skálavík municipality,Seats held by women,3.0
2016,Local goverment,Skálavík municipality,Number of seats,5.0
2020,Local goverment,Skálavík municipality,Proportion of seats held by women,20.0
2020,Local goverment,Skálavík municipality,Seats held by women,1.0
2020,Local goverment,Skálavík municipality,Number of seats,5.0
2024,Local goverment,Skálavík municipality,Proportion of seats held by women,40.0
2024,Local goverment,Skálavík municipality,Seats held by women,2.0
2024,Local goverment,Skálavík municipality,Number of seats,5.0
1992,Local goverment,Skopun municipality,Proportion of seats held by women,0.0
1992,Local goverment,Skopun municipality,Seats held by women,0.0
1992,Local goverment,Skopun municipality,Number of seats,10.0
1996,Local goverment,Skopun municipality,Proportion of seats held by women,0.0
1996,Local goverment,Skopun municipality,Seats held by women,0.0
1996,Local goverment,Skopun municipality,Number of seats,10.0
2000,Local goverment,Skopun municipality,Proportion of seats held by women,73.3
2000,Local goverment,Skopun municipality,Seats held by women,3.0
2000,Local goverment,Skopun municipality,Number of seats,8.0
2004,Local goverment,Skopun municipality,Proportion of seats held by women,73.3
2004,Local goverment,Skopun municipality,Seats held by women,3.0
2004,Local goverment,Skopun municipality,Number of seats,8.0
2012,Local goverment,Skopun municipality,Proportion of seats held by women,40.0
2012,Local goverment,Skopun municipality,Seats held by women,2.0
2012,Local goverment,Skopun municipality,Number of seats,5.0
2016,Local goverment,Skopun municipality,Proportion of seats held by women,40.0
2016,Local goverment,Skopun municipality,Seats held by women,2.0
2016,Local goverment,Skopun municipality,Number of seats,5.0
2020,Local goverment,Skopun municipality,Proportion of seats held by women,40.0
2020,Local goverment,Skopun municipality,Seats held by women,2.0
2020,Local goverment,Skopun municipality,Number of seats,5.0
2024,Local goverment,Skopun municipality,Proportion of seats held by women,60.0
2024,Local goverment,Skopun municipality,Seats held by women,3.0
2024,Local goverment,Skopun municipality,Number of seats,5.0
2012,Local goverment,Skúgvoy municipality,Proportion of seats held by women,33.3
2012,Local goverment,Skúgvoy municipality,Seats held by women,1.0
2012,Local goverment,Skúgvoy municipality,Number of seats,3.0
2016,Local goverment,Skúgvoy municipality,Proportion of seats held by women,0.0
2016,Local goverment,Skúgvoy municipality,Seats held by women,0.0
2016,Local goverment,Skúgvoy municipality,Number of seats,3.0
2020,Local goverment,Skúgvoy municipality,Proportion of seats held by women,0.0
2020,Local goverment,Skúgvoy municipality,Seats held by women,0.0
2020,Local goverment,Skúgvoy municipality,Number of seats,3.0
2024,Local goverment,Skúgvoy municipality,Proportion of seats held by women,0.0
2024,Local goverment,Skúgvoy municipality,Seats held by women,0.0
2024,Local goverment,Skúgvoy municipality,Number of seats,3.0
1992,Local goverment,Sørvágur municipality,Proportion of seats held by women,20.0
1992,Local goverment,Sørvágur municipality,Seats held by women,1.0
1992,Local goverment,Sørvágur municipality,Number of seats,5.0
1996,Local goverment,Sørvágur municipality,Proportion of seats held by women,16.7
1996,Local goverment,Sørvágur municipality,Seats held by women,1.0
1996,Local goverment,Sørvágur municipality,Number of seats,6.0
